Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
CBL,PTEN,CBL,,,100,,0,0,0,0
Special Benefits,PTEN,APOBEC3B,E2F1,,100,b,,,,0
Special Benefits,PTEN,ANKRD62,E2F1,,100,b,,,,0
"Federal Contributions, FSMI Fund",PIK3CA,APOBEC3B,EP300,,100,b,,,,0
EPHA3,PIK3CA,ARNT,EPHA3,,100,g,28.2,0,0,0
Salaries and Expenses,PIK3CA,ASXL1,EVC2,,100,b,,,,0
Federal Payment for School Improvement,APC,BRCA2,FOXL2,,100,b,,,,0
"Salaries and Expenses, Library of Congress",APC,BRD3,KEAP1,,100,b,,,,0
"Salaries and Expenses, Library of Congress",APC,CALML5,KEAP1,,100,b,,,,0
"Federal Contributions, DoD MedicareEligible Retiree PIK3CA Fund",KRAS,CASC5,MET,,100,b,,,,0
CCAR1 Insurance and Indemnities,KRAS,CCAR1,MLL3,,100,b,,,,0
Foreign Military Sales Trust Fund,KRAS,CDKN2A,OR6V1,,100,b,,,,0
"Funds for Strengthening Markets, Income, and Supply (section 32)",MYC,CREBBP,PDGFRB,,100,b,,,,0
Workers Compensation  Benefit Payments (Y14),MYC,CTNND1,PIK3R3,,100,g,0,12.1,0,0
SALL1,MYC,DNMT3A,SALL1,,100,,0,0,0,0
,,Level2,Level3,,,,,,,
